time operation sell_price hold_day buy_price buy_date
20150203 sell 22.58 3 23.19 20150129
20150311 sell 24.97 12 25.03 20150216
20150409 sell 32.0 17 26.22 20150316
20150528 sell 21.96 5 35.77 20150521
20151117 sell 20.63 9 21.83 20151104
20151201 sell 21.4 7 22.25 20151120
20151230 sell 23.13 11 22.98 20151215
20160104 sell 22.5 1 25.0 20151231
20160105 sell 21.67 2 25.0 20151231
20160226 sell 18.28 5 20.7 20160219
20160415 sell 24.64 19 21.87 20160318
20160510 sell 26.72 3 27.98 20160505
20160622 sell 32.56 13 29.94 20160601
20160919 sell 32.0 6 32.01 20160907
20161115 sell 30.69 13 31.73 20161027
20161207 sell 35.5 14 31.97 20161117
20161208 sell 34.7 15 31.97 20161117
20161209 sell 34.99 16 31.97 20161117
20161212 sell 34.36 17 31.97 20161117
20161213 sell 35.63 18 31.97 20161117
20161214 sell 35.1 19 31.97 20161117
20170223 sell 33.98 12 34.81 20170207
20170313 sell 36.21 11 34.56 20170224
20170320 sell 35.98 4 36.28 20170314
20170405 sell 41.05 9 37.09 20170321
20170412 sell 40.36 14 37.09 20170321
20170908 sell 18.43 15 18.88 20170818
20170922 sell 19.64 1 19.55 20170921
20171026 sell 21.29 11 20.95 20171011
20171123 sell 21.53 8 23.1 20171113
20180322 sell 23.16 16 21.26 20180228
20181122 sell 8.52 8 9.15 20181112
20190314 sell 8.5 17 7.9 20190219
20190315 sell 8.52 18 7.9 20190219
20190416 sell 9.64 9 9.46 20190402
