date,close,high,open,low,vol,settle,amount,percent,close_EMA_5,close_EMA_7,close_EMA_14,close_EMA_21,close_EMA_3,close_EMA_15,close_EMA_30,close_EMA_45,close_EMA_25,close_EMA_50,close_EMA_75,close_EMA_10,close_EMA_20,close_EMA_40,close_EMA_80,close_EMA_5_3,close_EMA_10_3,close_EMA_20_3,close_EMA_40_3,close_EMA_80_3,close_EMA_5_-3,close_EMA_10_-3,close_EMA_20_-3,close_EMA_40_-3,close_EMA_80_-3,close_shift_4,BIAS_5,BIAS_50,CCI,K,D,J,WR,RSI_6,RSI_12,ROC_6,ROC_12,RSI_24,Dea,MACD,close_EMA_26,close_EMA_12,close_MA_5,close_MA_10,close_MA_20,close_MA_30,close_MA_40,Klength,KUpperlength,KLowerlength,MeanAmplitude
20050104,6.88,6.98,6.98,6.82,0.00038089,7,0.26134944,-1.714285714,6.88,6.88,6.88,6.88,6.88,6.88,6.88,6.88,6.88,6.88,6.88,6.88,6.88,6.88,6.88,7.0864,7.0864,7.0864,7.0864,7.0864,6.6736,6.6736,6.6736,6.6736,6.6736,,,,,,,,,,,,,,0,0,6.88,6.88,,,,,,-0.1,0,0.06,
20050105,6.77,6.88,6.88,6.72,0.00052252,6.88,0.35366812,-1.598837209,6.843333333,6.8525,6.865333333,6.87,6.825,6.86625,6.872903226,6.875217391,6.871538462,6.875686275,6.877105263,6.86,6.86952381,6.874634146,6.877283951,7.048633333,7.0658,7.075609524,7.080873171,7.083602469,6.638033333,6.6542,6.663438095,6.668395122,6.670965432,,,,,,,,,,,,,,-0.001754986,-0.014039886,6.871851852,6.863076923,,,,,,-0.11,0,0.05,
20050106,6.68,6.83,6.8,6.63,0.0004298,6.77,0.28758188,-1.329394387,6.788888889,6.809375,6.840622222,6.852727273,6.7525,6.84296875,6.860457856,6.866729679,6.856804734,6.868012303,6.871918283,6.827272727,6.851473923,6.865139798,6.872412742,6.992555556,7.032090909,7.057018141,7.071093992,7.078585124,6.585222222,6.622454545,6.645929705,6.659185604,6.66624036,,,,,,,,,,,,,,-0.005949861,-0.033559,6.857640604,6.834911243,,,,,,-0.12,0.03,0.05,
20050110,6.93,6.95,6.8,6.73,0.00071152,6.68,0.48798404,3.74251497,6.835925926,6.83953125,6.852539259,6.859752066,6.84125,6.853847656,6.864944446,6.869480562,6.862435139,6.870443193,6.873446749,6.845950413,6.858952597,6.86830371,6.87383465,7.041003704,7.051328926,7.064721175,7.074352821,7.080049689,6.630848148,6.640571901,6.653184019,6.662254599,6.66761961,,,,,,,,,,,,,,-0.007451944,-0.012016665,6.863000559,6.849540282,,,,,,0.13,0.02,0.07,
20050111,7.01,7.02,6.93,6.9,0.00068951,6.93,0.48039156,1.154401154,6.893950617,6.882148438,6.873534025,6.873410969,6.925625,6.873366699,6.874302869,6.875590103,6.873786282,6.875916009,6.877040255,6.875777611,6.873338064,6.875215724,6.877196757,7.100769136,7.082050939,7.079538206,7.081472196,7.08351266,6.687132099,6.669504282,6.667137922,6.668959252,6.670880854,6.88,2.276043186,,,,,,,,,,,,-0.005894158,0.012462288,6.873889406,6.874226393,6.854,,,,,0.08,0.01,0.03,
20050112,6.97,7.03,7.02,6.91,0.00027974,7.01,0.19447652,-0.570613409,6.919300412,6.904111328,6.886396155,6.88219179,6.9478125,6.885445862,6.880476878,6.879694881,6.881187337,6.879605577,6.879486564,6.892908954,6.882543963,6.879839347,6.879488195,7.126879424,7.099696223,7.089020281,7.086234528,7.085872841,6.711721399,6.686121686,6.676067644,6.673444167,6.673103549,6.77,1.426076834,,,,,,,57.89473684,,,,,-0.003124909,0.022153987,6.88100871,6.888960794,6.872,,,,,-0.05,0.01,0.06,
20050113,6.96,7.02,6.95,6.94,0.00012848,6.97,0.08976785,-0.143472023,6.932866941,6.918083496,6.896210001,6.889265264,6.95390625,6.894765129,6.885607402,6.883186408,6.88724985,6.8827583,6.881605339,6.905107326,6.889920728,6.883749623,6.881476141,7.140852949,7.112260546,7.09661835,7.090262112,7.087920425,6.724880933,6.697954106,6.683223106,6.677237134,6.675031857,6.68,0.723589001,,,,,,,70.21276596,,1.162790698,,,0.00010607,0.025847833,6.886859916,6.899889902,6.91,,,,,0.01,0.06,0.01,
20050114,6.92,7.08,6.96,6.9,0.0001731,6.96,0.12108769,-0.574712644,6.928577961,6.918562622,6.899382001,6.892059331,6.936953125,6.897919488,6.887826279,6.884786999,6.889769092,6.884218759,6.882615725,6.907815085,6.892785421,6.885517934,6.882427347,7.136435299,7.115049538,7.099568983,7.092083472,7.088900168,6.720720622,6.700580633,6.686001858,6.678952396,6.675954527,6.93,-0.546133947,,,50,50,50,,78.57142857,,2.215657312,,,0.002818661,0.021700731,6.889314737,6.902983764,6.958,,,,,-0.04,0.12,0.02,
20050117,6.8,6.92,6.9,6.79,0.00026207,6.92,0.17915004,-1.734104046,6.88571864,6.888921967,6.886131067,6.883690301,6.868476563,6.885679552,6.882160067,6.881100608,6.882863777,6.880916062,6.880441627,6.888212342,6.883948714,6.881346328,6.880392104,7.0922902,7.094858713,7.090467175,7.087786717,7.086803867,6.679147081,6.681565972,6.677430252,6.674905938,6.673980341,7.01,-1.904212349,,,45.92592593,48.64197531,40.49382716,,27.5862069,,1.796407186,,,0.003143184,0.002596185,6.882698831,6.887140108,6.932,,,,,-0.1,0.02,0.01,
20050118,6.88,6.88,6.8,6.73,0.00015958,6.8,0.10850994,1.176470588,6.883812427,6.886691475,6.885313592,6.883354819,6.874238281,6.884969608,6.882020708,6.881052755,6.882643487,6.880880138,6.880430005,6.886719189,6.883572646,6.881280653,6.880382423,7.0903268,7.093320765,7.090079825,7.087719073,7.086793895,6.677298054,6.680117614,6.677065467,6.674842234,6.67397095,6.97,-0.376484217,,,49.13580247,48.80658436,49.79423868,,27.5862069,,-0.721500722,,,0.00322309,0.000639245,6.882498917,6.88604163,6.906,6.88,,,,0.08,0,0.07,0.022133647
