time operation sell_price buy_price buy_date
20150107 sell 6.63 6.72 20150106
20150108 sell 6.49 6.72 20150106
20150109 sell 6.37 6.49 20150108
20150122 sell 6.8 6.56 20150121
20150123 sell 6.61 6.56 20150121
20150126 sell 7.06 6.61 20150123
20150127 sell 7.6 6.61 20150123
20150128 sell 7.5 7.6 20150127
20150129 sell 7.6 7.6 20150127
20150130 sell 7.46 7.6 20150129
20150202 sell 7.42 7.6 20150129
20150203 sell 7.64 7.42 20150202
20150204 sell 7.55 7.42 20150202
20150205 sell 7.5 7.55 20150204
20150206 sell 7.52 7.5 20150205
20150209 sell 7.52 7.5 20150205
20150210 sell 7.78 7.52 20150209
20150211 sell 8.06 7.52 20150209
20150212 sell 8.31 8.06 20150211
20150213 sell 8.29 8.31 20150212
20150216 sell 8.65 8.29 20150213
20150217 sell 8.88 8.65 20150216
20150225 sell 9.49 8.88 20150217
20150226 sell 9.33 9.49 20150225
20150227 sell 9.6 9.33 20150226
20150302 sell 10.04 9.6 20150227
20150303 sell 10.0 9.6 20150227
20150304 sell 9.93 10.0 20150303
20150305 sell 9.2 10.0 20150303
20150318 sell 10.35 9.66 20150317
20150319 sell 10.0 9.66 20150317
20150320 sell 9.9 10.0 20150319
20150323 sell 10.02 10.0 20150319
20150324 sell 9.68 10.02 20150323
20150325 sell 9.8 10.02 20150323
20150331 sell 9.81 9.97 20150330
20150403 sell 11.67 11.14 20150402
20150407 sell 11.65 11.14 20150402
20150408 sell 11.21 11.65 20150407
20150409 sell 11.65 11.65 20150407
20150410 sell 12.63 11.65 20150409
