time operation sell_price hold_day buy_price buy_date
20150817 sell 16.13 5 16.17 20150810
20150818 sell 14.52 6 16.17 20150810
20150819 sell 14.75 7 16.17 20150810
20151008 sell 12.09 2 11.63 20150929
20160225 sell 12.61 3 14.58 20160222
20160226 sell 12.3 4 14.58 20160222
20160309 sell 14.21 4 14.56 20160303
20160525 sell 17.76 5 17.81 20160518
20160720 sell 21.32 12 18.05 20160704
20160825 sell 21.65 2 22.0 20160823
20160919 sell 22.26 5 22.7 20160908
20161128 sell 25.79 4 27.21 20161115
20170103 sell 26.94 8 26.6 20161221
20170104 sell 27.0 9 26.6 20161221
20170209 sell 27.15 3 27.06 20170206
20170512 sell 27.7 9 26.2 20170428
20170628 sell 28.79 14 28.35 20170608
20170901 sell 27.0 8 27.46 20170822
20170914 sell 26.46 2 27.22 20170912
20170915 sell 26.7 3 27.22 20170912
20171026 sell 27.06 7 26.86 20171017
20180108 sell 26.6 6 26.48 20171228
20180130 sell 26.45 5 26.57 20180123
20180131 sell 26.39 6 26.57 20180123
20180307 sell 25.77 1 25.77 20180306
20180319 sell 26.16 6 26.25 20180309
20180417 sell 25.68 2 26.05 20180413
20180518 sell 31.94 18 26.36 20180420
20190220 sell 20.22 4 19.99 20190214
20190508 sell 20.14 3 20.31 20190430
