time operation sell_price hold_day buy_price buy_date
20150225 sell 20.01 5 20.69 20150211
20150303 sell 20.15 9 20.69 20150211
20150610 sell 27.14 6 27.18 20150602
20150818 sell 16.9 2 18.76 20150814
20151029 sell 14.33 12 12.79 20151013
20151221 sell 16.49 1 16.28 20151218
20160310 sell 10.98 3 11.66 20160307
20160613 sell 12.04 5 12.52 20160602
20160614 sell 12.26 6 12.52 20160602
20160822 sell 13.71 3 14.24 20160817
20160907 sell 13.74 3 13.8 20160902
20161110 sell 15.23 16 13.39 20161019
20170215 sell 13.17 2 13.31 20170213
20170310 sell 12.95 4 13.18 20170306
20170313 sell 13.05 5 13.18 20170306
20170314 sell 12.95 6 13.18 20170306
20170703 sell 11.2 9 11.26 20170620
20180129 sell 10.07 5 10.2 20180122
20180510 sell 8.04 1 8.14 20180509
20180731 sell 6.68 2 6.71 20180727
20180801 sell 6.57 3 6.71 20180727
20180830 sell 6.33 4 6.59 20180824
20181008 sell 6.19 1 6.39 20180928
20181009 sell 6.17 2 6.39 20180928
20181010 sell 6.18 3 6.39 20180928
20181106 sell 6.77 7 6.27 20181026
20181108 sell 6.59 9 6.27 20181026
20181120 sell 7.31 17 6.27 20181026
20190111 sell 7.49 4 7.55 20190107
20190304 sell 9.45 13 7.65 20190213
